"ID","GRIDCODE","gridcode_1","fire_id","F_AREA","score.building","score.habitat","score.invasive","score.isol","score.RelAbundance","Total","RelativeTotal","Rank"
"28553","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28554","113","113","WA4724812058320120908",2700,0,0.5,0,0.024235144654289,0.510568094873757,1.03480323952805,0.02,2348
"28557","113","113","WA4724812058320120908",3600,0,0.5,0,0.230747897815104,0.510568094873757,1.24131599268886,0.03,769.5
"28558","113","113","WA4724812058320120908",3600,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28559","113","113","WA4724812058320120908",3600,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28560","113","113","WA4724812058320120908",4500,0,0.5,0,0.0407908508224002,0.873565416985463,1.41435626780786,0.03,582
"28570","113","113","WA4724812058320120908",7200,0,0.5,0,0.122372552467201,0.510568094873757,1.13294064734096,0.03,975.5
"28571","113","113","WA4724812058320120908",5400,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28572","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28573","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28577","113","113","WA4724812058320120908",3600,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28579","113","113","WA4724812058320120908",4500,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28581","113","113","WA4724812058320120908",3600,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28590","113","113","WA4724812058320120908",6300,0,0.5,0,0.0407908508224002,0.873565416985463,1.41435626780786,0.03,582
"28591","113","113","WA4724812058320120908",5400,0,0.5,0.86044062186283,0.0407908508224002,0.510568094873757,1.91179956755899,0.04,192
"28592","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28593","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.873565416985463,1.45514711863026,0.03,466.5
"28595","113","113","WA4724812058320120908",1800,0,0.5,0,0.0173812327345791,0.510568094873757,1.02794932760834,0.02,2401
"28599","113","113","WA4724812058320120908",3600,0,0.5,0.85100830188705,0.0576869744537761,0.873565416985463,2.28226069332629,0.05,38
"28600","113","113","WA4724812058320120908",60300,0,0,0.866683785032755,0.0407908508224002,0.873565416985463,1.78104005284062,0.04,239
"28601","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28603","113","113","WA4724812058320120908",6300,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28604","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.873565416985463,1.41435626780786,0.03,582
"28606","113","113","WA4724812058320120908",2700,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28615","113","113","WA4724812058320120908",7200,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28621","113","113","WA4724812058320120908",2700,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28630","113","113","WA4724812058320120908",4500,0,0.5,0.961537260179511,0.122372552467201,0.510568094873757,2.09447790752047,0.05,53
"28633","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
